Station ID,Division,Stop Name,Borough,Structure,GTFS Latitude,GTFS Longitude
1,BMT,Astoria Ditmars,Q,Elevated,40.775036,-73.912034
2,BMT,Astoria Blvd,Q,Elevated,40.770258,-73.917843
3,BMT,30 Av,Q,Elevated,40.766779,-73.921479
4,BMT,Broadway,Q,Elevated,40.76182,-73.925508
5,BMT,36 Av,Q,Elevated,40.756804,-73.929575
6,BMT,39 Av,Q,Elevated,40.752882,-73.932755
7,BMT,Lexington Av/59 St,M,Subway,40.76266,-73.967258
8,BMT,5 Av/59 St,M,Subway,40.764811,-73.973347
9,BMT,57 St-7 Av,M,Subway,40.764664,-73.980658
10,BMT,49 St,M,Subway,40.759901,-73.984139
11,BMT,Times Sq-42 St,M,Subway,40.754672,-73.986754
12,BMT,34 St-Herald Sq,M,Subway,40.749567,-73.98795
13,BMT,28 St,M,Subway,40.745494,-73.988691
14,BMT,23 St,M,Subway,40.741303,-73.989344
15,BMT,14 St-Union Sq,M,Subway,40.735736,-73.990568
16,BMT,8 St-NYU,M,Subway,40.730328,-73.992629
17,BMT,Prince St,M,Subway,40.724329,-73.997702
18,BMT,Canal St,M,Subway,40.719527,-74.001775
20,BMT,City Hall,M,Subway,40.713282,-74.006978
21,BMT,Cortlandt St,M,Subway,40.710668,-74.011029
22,BMT,Rector St,M,Subway,40.70722,-74.013342
23,BMT,Whitehall S-Fry,M,Subway,40.703087,-74.012994
24,BMT,Court St,Bk,Subway,40.6941,-73.991777
25,BMT,Jay St-MetroTec,Bk,Subway,40.69218,-73.985942
26,BMT,DeKalb Av,Bk,Subway,40.690635,-73.981824
40,IRT,ATL AV-BARCLAY,Bk,Subway,40.68446,-73.97689
28,BMT,Union St,Bk,Subway,40.677316,-73.98311
29,BMT,4AV-9 ST,Bk,Subway,40.670847,-73.988302
30,BMT,Prospect Av,Bk,Subway,40.665414,-73.992872
31,BMT,25 St,Bk,Subway,40.660397,-73.998091
32,BMT,36 St,Bk,Subway,40.655144,-74.003549
33,BMT,45 St,Bk,Subway,40.648939,-74.010006
34,BMT,53 St,Bk,Subway,40.645069,-74.014034
35,BMT,59 St,Bk,Subway,40.641362,-74.017881
36,BMT,Bay Ridge Av,Bk,Subway,40.634967,-74.023377
37,BMT,77 St,Bk,Subway,40.629742,-74.02551
79,BMT,86 St,Bk,Open Cut,40.592721,-73.97823
39,BMT,Bay Ridge-95 St,Bk,Subway,40.616622,-74.030876
41,BMT,7 Av,Bk,Subway,40.67705,-73.972367
42,BMT,Prospect Park,Bk,Open Cut,40.661614,-73.962246
43,BMT,Parkside Av,Bk,Open Cut,40.655292,-73.961495
356,IRT,Church Av,Bk,Subway,40.650843,-73.949575
45,BMT,Beverley Road,Bk,Open Cut,40.644031,-73.964492
46,BMT,Cortelyou Rd,Bk,Open Cut,40.640927,-73.963891
47,BMT,Newkirk Plaza,Bk,Open Cut,40.635082,-73.962793
48,BMT,Avenue H,Bk,Open Cut,40.62927,-73.961639
49,BMT,Avenue J,Bk,Open Cut,40.625039,-73.960803
50,BMT,Avenue M,Bk,Open Cut,40.617618,-73.959399
51,BMT,Kings Hwy,Bk,Open Cut,40.60867,-73.957734
52,BMT,Avenue U,Bk,Open Cut,40.5993,-73.955929
53,BMT,Neck Rd,Bk,Open Cut,40.595246,-73.955161
