,borough_label,station,station_entries_pct_chag
0,Bronx,138/GRAND CONC,54000
1,Bronx,PELHAM BAY PARK,16200
2,Bronx,MT EDEN AV,10007
3,Bronx,231 ST,5133
4,Bronx,182-183 STS,2951
5,Brooklyn,STERLING ST,85500
6,Brooklyn,4AV-9 ST,78200
7,Brooklyn,AVENUE P,72100
8,Brooklyn,BEVERLY RD,49950
9,Brooklyn,PRESIDENT ST,42800
10,Manhattan,GRAND ST,69700
11,Manhattan,HARLEM 148 ST,57400
12,Manhattan,EAST BROADWAY,56800
13,Manhattan,ROOSEVELT ISLND,56450
14,Manhattan,BOWERY,44700
15,Queens,COURT SQ-23 ST,58400
16,Queens,AQUEDUCT RACETR,21800
17,Queens,BEACH 60 ST,20380
18,Queens,PARSONS BLVD,4345
19,Queens,63 DR-REGO PARK,2628
20,Staten Island,ST. GEORGE,17400
