,borough,week_begin,cases
0,bk,2020-02-24,0
1,bk,2020-03-02,0
2,bk,2020-03-09,0
3,bk,2020-03-16,6
4,bk,2020-03-23,50
5,bk,2020-03-30,143
6,bk,2020-04-06,178
7,bk,2020-04-13,126
8,bk,2020-04-20,93
9,bk,2020-04-27,57
10,bk,2020-05-04,42
11,bk,2020-05-11,24
12,bk,2020-05-18,16
13,bk,2020-05-25,12
14,bk,2020-06-01,10
15,bk,2020-06-08,6
16,bk,2020-06-15,4
17,bk,2020-06-22,5
18,bk,2020-06-29,3
19,bk,2020-07-06,2
20,bk,2020-07-13,2
21,bk,2020-07-20,3
22,bk,2020-07-27,1
23,bk,2020-08-03,0
24,bk,2020-08-10,1
25,bk,2020-08-17,1
26,bk,2020-08-24,1
27,bk,2020-08-31,2
28,bk,2020-09-07,1
29,bk,2020-09-14,2
30,bk,2020-09-21,1
31,bk,2020-09-28,1
32,bk,2020-10-05,1
33,bk,2020-10-12,3
34,bk,2020-10-19,2
35,bk,2020-10-26,3
36,bk,2020-11-02,5
37,bk,2020-11-09,2
38,bk,2020-11-16,3
39,bk,2020-11-23,3
40,bk,2020-11-30,4
41,bk,2020-12-07,8
42,bk,2020-12-14,9
43,bk,2020-12-21,12
44,bk,2020-12-28,16
45,bk,2021-01-04,19
46,bk,2021-01-11,22
47,bk,2021-01-18,27
48,bk,2021-01-25,27
49,bk,2021-02-01,26
50,bk,2021-02-08,25
51,bk,2021-02-15,20
52,bk,2021-02-22,23
53,bk,2021-03-01,15
54,bk,2021-03-08,19
55,bk,2021-03-15,16
56,bk,2021-03-22,16
57,bk,2021-03-29,17
58,bk,2021-04-05,17
59,bk,2021-04-12,9
60,bx,2020-02-24,0
61,bx,2020-03-02,0
62,bx,2020-03-09,0
63,bx,2020-03-16,4
64,bx,2020-03-23,36
65,bx,2020-03-30,98
66,bx,2020-04-06,114
67,bx,2020-04-13,88
68,bx,2020-04-20,62
69,bx,2020-04-27,45
70,bx,2020-05-04,26
71,bx,2020-05-11,19
72,bx,2020-05-18,12
73,bx,2020-05-25,9
74,bx,2020-06-01,8
75,bx,2020-06-08,6
76,bx,2020-06-15,3
77,bx,2020-06-22,3
78,bx,2020-06-29,2
79,bx,2020-07-06,1
80,bx,2020-07-13,1
81,bx,2020-07-20,1
82,bx,2020-07-27,1
83,bx,2020-08-03,1
84,bx,2020-08-10,1
85,bx,2020-08-17,0
86,bx,2020-08-24,2
87,bx,2020-08-31,1
88,bx,2020-09-07,1
89,bx,2020-09-14,1
90,bx,2020-09-21,1
91,bx,2020-09-28,1
92,bx,2020-10-05,1
93,bx,2020-10-12,1
94,bx,2020-10-19,0
95,bx,2020-10-26,0
96,bx,2020-11-02,2
97,bx,2020-11-09,1
98,bx,2020-11-16,1
99,bx,2020-11-23,2
100,bx,2020-11-30,3
101,bx,2020-12-07,4
102,bx,2020-12-14,6
103,bx,2020-12-21,6
104,bx,2020-12-28,8
105,bx,2021-01-04,10
106,bx,2021-01-11,8
107,bx,2021-01-18,12
108,bx,2021-01-25,12
109,bx,2021-02-01,14
110,bx,2021-02-08,14
111,bx,2021-02-15,17
112,bx,2021-02-22,12
113,bx,2021-03-01,11
114,bx,2021-03-08,16
115,bx,2021-03-15,9
116,bx,2021-03-22,12
117,bx,2021-03-29,9
118,bx,2021-04-05,7
119,bx,2021-04-12,4
120,m,2020-02-24,0
121,m,2020-03-02,0
122,m,2020-03-09,0
123,m,2020-03-16,4
124,m,2020-03-23,28
125,m,2020-03-30,59
126,m,2020-04-06,66
127,m,2020-04-13,55
128,m,2020-04-20,47
129,m,2020-04-27,32
130,m,2020-05-04,18
131,m,2020-05-11,11
132,m,2020-05-18,7
133,m,2020-05-25,6
134,m,2020-06-01,7
135,m,2020-06-08,2
136,m,2020-06-15,3
137,m,2020-06-22,2
138,m,2020-06-29,1
139,m,2020-07-06,1
140,m,2020-07-13,2
141,m,2020-07-20,0
142,m,2020-07-27,1
143,m,2020-08-03,1
144,m,2020-08-10,1
145,m,2020-08-17,0
146,m,2020-08-24,0
147,m,2020-08-31,0
148,m,2020-09-07,0
149,m,2020-09-14,0
150,m,2020-09-21,1
151,m,2020-09-28,0
152,m,2020-10-05,0
153,m,2020-10-12,0
154,m,2020-10-19,1
155,m,2020-10-26,1
156,m,2020-11-02,0
157,m,2020-11-09,1
158,m,2020-11-16,0
159,m,2020-11-23,2
160,m,2020-11-30,2
161,m,2020-12-07,2
162,m,2020-12-14,4
163,m,2020-12-21,7
164,m,2020-12-28,5
165,m,2021-01-04,9
166,m,2021-01-11,7
167,m,2021-01-18,9
168,m,2021-01-25,12
169,m,2021-02-01,11
170,m,2021-02-08,12
171,m,2021-02-15,8
172,m,2021-02-22,12
173,m,2021-03-01,10
174,m,2021-03-08,7
175,m,2021-03-15,9
176,m,2021-03-22,6
177,m,2021-03-29,6
178,m,2021-04-05,7
179,m,2021-04-12,4
180,q,2020-02-24,0
181,q,2020-03-02,0
182,q,2020-03-09,0
183,q,2020-03-16,9
184,q,2020-03-23,58
185,q,2020-03-30,144
186,q,2020-04-06,174
187,q,2020-04-13,136
188,q,2020-04-20,98
189,q,2020-04-27,73
190,q,2020-05-04,46
191,q,2020-05-11,26
192,q,2020-05-18,14
193,q,2020-05-25,14
194,q,2020-06-01,10
195,q,2020-06-08,9
196,q,2020-06-15,6
197,q,2020-06-22,4
198,q,2020-06-29,3
199,q,2020-07-06,1
200,q,2020-07-13,3
201,q,2020-07-20,2
202,q,2020-07-27,1
203,q,2020-08-03,1
204,q,2020-08-10,0
205,q,2020-08-17,1
206,q,2020-08-24,0
207,q,2020-08-31,1
208,q,2020-09-07,1
209,q,2020-09-14,1
210,q,2020-09-21,0
211,q,2020-09-28,2
212,q,2020-10-05,1
213,q,2020-10-12,1
214,q,2020-10-19,1
215,q,2020-10-26,1
216,q,2020-11-02,2
217,q,2020-11-09,1
218,q,2020-11-16,2
219,q,2020-11-23,4
220,q,2020-11-30,6
221,q,2020-12-07,7
222,q,2020-12-14,9
223,q,2020-12-21,11
224,q,2020-12-28,10
225,q,2021-01-04,19
226,q,2021-01-11,25
227,q,2021-01-18,23
228,q,2021-01-25,24
229,q,2021-02-01,22
230,q,2021-02-08,23
231,q,2021-02-15,20
232,q,2021-02-22,19
233,q,2021-03-01,17
234,q,2021-03-08,17
235,q,2021-03-15,16
236,q,2021-03-22,16
237,q,2021-03-29,16
238,q,2021-04-05,14
239,q,2021-04-12,7
240,si,2020-02-24,0
241,si,2020-03-02,0
242,si,2020-03-09,0
243,si,2020-03-16,1
244,si,2020-03-23,8
245,si,2020-03-30,22
246,si,2020-04-06,26
247,si,2020-04-13,19
248,si,2020-04-20,13
249,si,2020-04-27,11
250,si,2020-05-04,8
251,si,2020-05-11,6
252,si,2020-05-18,5
253,si,2020-05-25,2
254,si,2020-06-01,1
255,si,2020-06-08,1
256,si,2020-06-15,2
257,si,2020-06-22,1
258,si,2020-06-29,1
259,si,2020-07-06,0
260,si,2020-07-13,0
261,si,2020-07-20,0
262,si,2020-07-27,0
263,si,2020-08-03,0
264,si,2020-08-10,0
265,si,2020-08-17,0
266,si,2020-08-24,0
267,si,2020-08-31,0
268,si,2020-09-07,0
269,si,2020-09-14,0
270,si,2020-09-21,0
271,si,2020-09-28,0
272,si,2020-10-05,0
273,si,2020-10-12,0
274,si,2020-10-19,1
275,si,2020-10-26,0
276,si,2020-11-02,1
277,si,2020-11-09,1
278,si,2020-11-16,2
279,si,2020-11-23,3
280,si,2020-11-30,4
281,si,2020-12-07,5
282,si,2020-12-14,4
283,si,2020-12-21,5
284,si,2020-12-28,5
285,si,2021-01-04,6
286,si,2021-01-11,5
287,si,2021-01-18,6
288,si,2021-01-25,6
289,si,2021-02-01,4
290,si,2021-02-08,5
291,si,2021-02-15,3
292,si,2021-02-22,3
293,si,2021-03-01,5
294,si,2021-03-08,5
295,si,2021-03-15,4
296,si,2021-03-22,4
297,si,2021-03-29,2
298,si,2021-04-05,3
299,si,2021-04-12,2
